anon_school,anon_class,anon_pid,p_D,p_A,p_S
SCH_001,CLS_0015,P000224,0.3732585310935974,0.40559059381484985,0.42425450682640076
SCH_001,CLS_0015,P007578,0.41135165095329285,0.39834949374198914,0.40961694717407227
SCH_001,CLS_0016,P000727,0.37614336609840393,0.36461561918258667,0.4005238711833954
SCH_001,CLS_0016,P001593,0.517526388168335,0.5446751713752747,0.5243648290634155
SCH_001,CLS_0016,P001856,0.3494969308376312,0.3363676965236664,0.38617730140686035
SCH_001,CLS_0016,P002939,0.3560240864753723,0.4101763367652893,0.37489792704582214
SCH_001,CLS_0016,P007401,0.36765584349632263,0.3488416373729706,0.39186957478523254
SCH_001,CLS_0024,P003859,0.4274813234806061,0.3949940502643585,0.4343242347240448
SCH_001,CLS_0024,P007010,0.4390326738357544,0.4823061525821686,0.4684678316116333
SCH_001,CLS_0041,P001190,0.3502308130264282,0.4095207452774048,0.410403847694397
SCH_001,CLS_0041,P005030,0.31413552165031433,0.3196354806423187,0.3822470009326935
SCH_001,CLS_0041,P007771,0.38419121503829956,0.3850473165512085,0.4113464653491974
SCH_001,CLS_0094,P007442,0.33214861154556274,0.32804927229881287,0.3732438087463379
SCH_001,CLS_0110,P005849,0.41342443227767944,0.32929837703704834,0.41845738887786865
SCH_001,CLS_0220,P004254,0.4788661003112793,0.5522381663322449,0.5091444253921509
SCH_001,CLS_0220,P004945,0.3466334044933319,0.38800278306007385,0.4058212339878082
SCH_001,CLS_0220,P007267,0.34096866846084595,0.4010026454925537,0.37909793853759766
SCH_001,CLS_0229,P000981,0.41229352355003357,0.37315061688423157,0.4250180125236511
SCH_001,CLS_0229,P006105,0.4201022684574127,0.41658443212509155,0.4299231767654419
SCH_001,CLS_0232,P006112,0.3638240396976471,0.4045460522174835,0.43826374411582947
SCH_001,CLS_0232,P006717,0.3568160831928253,0.3462504744529724,0.3957943916320801
SCH_002,CLS_0054,P002235,0.4616953730583191,0.4076535403728485,0.4591920077800751
SCH_002,CLS_0054,P002282,0.444112628698349,0.39605432748794556,0.42971789836883545
SCH_002,CLS_0054,P003948,0.5134517550468445,0.5634574294090271,0.5265995264053345
SCH_002,CLS_0054,P005843,0.3448202908039093,0.40577784180641174,0.4269160330295563
SCH_002,CLS_0054,P006043,0.45728030800819397,0.47992613911628723,0.46794402599334717
SCH_002,CLS_0057,P004558,0.6250896453857422,0.5538559556007385,0.561415433883667
SCH_002,CLS_0057,P007231,0.4052578806877136,0.42321333289146423,0.4286397695541382
SCH_002,CLS_0078,P001915,0.357538104057312,0.4116096794605255,0.38735055923461914
SCH_002,CLS_0078,P002964,0.3967709541320801,0.4014022946357727,0.41374072432518005
SCH_002,CLS_0102,P000423,0.6358277797698975,0.5529047846794128,0.5804908275604248
SCH_002,CLS_0102,P000567,0.4508616328239441,0.47081097960472107,0.4592025876045227
SCH_002,CLS_0102,P002196,0.4028368592262268,0.34547141194343567,0.41029149293899536
SCH_002,CLS_0102,P002556,0.4450797140598297,0.4084477424621582,0.43695148825645447
SCH_002,CLS_0102,P003573,0.37224024534225464,0.36621880531311035,0.3964367210865021
SCH_002,CLS_0102,P004100,0.415920615196228,0.41611698269844055,0.43283021450042725
SCH_002,CLS_0102,P004300,0.32642045617103577,0.3518516719341278,0.40661612153053284
SCH_002,CLS_0102,P005391,0.3533681631088257,0.4068760871887207,0.4150964617729187
SCH_002,CLS_0102,P006351,0.3635292649269104,0.34784355759620667,0.3946172893047333
SCH_002,CLS_0127,P000157,0.35114699602127075,0.36711615324020386,0.39828309416770935
SCH_002,CLS_0127,P000165,0.4595169126987457,0.5004157423973083,0.4747171998023987
SCH_002,CLS_0127,P002890,0.49146246910095215,0.5133114457130432,0.47833681106567383
SCH_002,CLS_0127,P003716,0.5628505945205688,0.5267079472541809,0.5032703280448914
SCH_002,CLS_0127,P005170,0.6024506688117981,0.5444737672805786,0.5456876158714294
SCH_002,CLS_0127,P005820,0.5471929311752319,0.5197754502296448,0.49444159865379333
SCH_002,CLS_0127,P006767,0.4257737100124359,0.4081166684627533,0.4165848195552826
SCH_002,CLS_0127,P007335,0.5042513012886047,0.5144767761230469,0.4793376922607422
SCH_002,CLS_0132,P000085,0.5029441714286804,0.5043414831161499,0.4906432330608368
SCH_002,CLS_0132,P001197,0.4838913083076477,0.4683173596858978,0.47284528613090515
SCH_002,CLS_0132,P001949,0.5704787969589233,0.545194149017334,0.5062848925590515
SCH_002,CLS_0132,P003417,0.4376092553138733,0.4032694697380066,0.44040149450302124
SCH_002,CLS_0132,P003932,0.41002941131591797,0.38124242424964905,0.42117786407470703
SCH_002,CLS_0132,P004337,0.6148210763931274,0.5409495830535889,0.5514610409736633
SCH_002,CLS_0132,P005884,0.45088115334510803,0.3997739553451538,0.4484710395336151
SCH_002,CLS_0132,P007536,0.4402683973312378,0.42996421456336975,0.42605894804000854
SCH_002,CLS_0137,P001845,0.43140676617622375,0.4159669876098633,0.41587796807289124
SCH_002,CLS_0137,P001923,0.5182380676269531,0.5092911720275879,0.47666943073272705
SCH_002,CLS_0137,P002883,0.33583155274391174,0.3460129499435425,0.3906541168689728
SCH_002,CLS_0137,P003192,0.41077446937561035,0.3860694169998169,0.41916388273239136
SCH_002,CLS_0137,P003269,0.28154507279396057,0.3402102589607239,0.2629806399345398
SCH_002,CLS_0137,P005082,0.3755214214324951,0.3519904911518097,0.3957063555717468
SCH_002,CLS_0137,P005325,0.34404081106185913,0.3172665536403656,0.3778032064437866
SCH_002,CLS_0137,P006266,0.3349638879299164,0.32557159662246704,0.36947667598724365
SCH_002,CLS_0137,P006428,0.3803965449333191,0.3544063866138458,0.4014596939086914
SCH_002,CLS_0137,P007337,0.595475971698761,0.5443454384803772,0.5332284569740295
